YEAR,Rk,Team,Conf,W,L,WinLoss,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A,Age,PW,PL,SOS,SRS,ORtg,DRtg,Pace,FTr,ThreeProp,TrueShoot,EffFG,TOP,ORBP,FTvsFGA,eFG%,TOV%,DRBP,FT/FGA,Arena,TotalAttend,AttendperG
2002,3,San Antonio Spurs,W,58,24,0.707,6.21,107.35,100.38,6.97,6.27,107.06,100.01,7.05,28.5,59,23,0.07,6.28,106.5,99.7,90,0.353,0.19,0.539,0.492,13.8,27.2,0.262,0.453,13.7,71.9,0.189,Alamodome,"906,390","22,107"
2002,18,Milwaukee Bucks,E,41,41,0.5,-0.22,107.78,108,-0.22,-0.62,107.93,108.6,-0.68,28.9,40,42,-0.4,-0.62,106.9,107.1,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12,70.9,0.217,Bradley Center,"745,305","18,178"
2002,12,Philadelphia 76ers,E,43,39,0.524,1.6,103.12,101.42,1.7,1.27,103.02,101.69,1.33,29,46,36,-0.33,1.27,102.1,100.3,88.9,0.327,0.111,0.507,0.452,14.6,31.7,0.255,0.46,14.2,72.1,0.208,First Union Center,"842,976","20,560"
2002,8,Portland Trail Blazers,W,49,33,0.598,2.99,108.2,104.84,3.36,3.2,108.13,104.52,3.61,29,50,32,0.22,3.21,107.4,104,89.3,0.285,0.198,0.528,0.485,13.5,31.8,0.218,0.489,14.2,73.3,0.202,Rose Garden Arena,"797,821","19,459"
2002,19,Toronto Raptors,E,42,40,0.512,-0.44,103.37,104.04,-0.67,-0.71,103.39,104.37,-0.98,29.3,40,42,-0.27,-0.71,102.6,103.1,88.8,0.255,0.165,0.501,0.463,13.6,31.4,0.189,0.471,14.7,70.1,0.237,Air Canada Centre,"810,160","19,760"
2002,10,Detroit Pistons,E,50,32,0.61,2.13,105.77,103.43,2.33,1.69,105.63,103.8,1.83,29.5,48,34,-0.45,1.69,104.8,102.4,90,0.31,0.24,0.54,0.497,14.3,24.4,0.235,0.474,14.8,70.5,0.206,The Palace of Auburn Hills,"760,807","18,556"
2002,11,Utah Jazz,W,44,38,0.537,0.89,106.57,105.33,1.25,1.2,106.52,104.93,1.6,29.9,44,38,0.32,1.21,105.6,104.6,90.3,0.381,0.132,0.529,0.472,15.4,33.5,0.291,0.484,15.9,71.7,0.286,Delta Center,"766,108","18,686"
2002,21,Miami Heat,E,36,46,0.439,-1.54,99.28,101.15,-1.88,-1.85,99.08,101.31,-2.22,30.1,36,46,-0.31,-1.84,98.5,100.2,87.4,0.268,0.141,0.501,0.463,14.6,26.6,0.194,0.455,13.6,74,0.249,AmericanAirlines Arena,"655,549","15,989"
2002,23,New York Knicks,E,30,52,0.366,-3.99,102.02,106.38,-4.36,-4.15,102.1,106.66,-4.56,30.3,29,53,-0.16,-4.15,101.5,105.9,89.7,0.274,0.206,0.514,0.468,14,25.6,0.216,0.479,12.9,71.9,0.236,Madison Square Garden (IV),"810,283","19,763"
2003,29,Cleveland Cavaliers,E,17,65,0.207,-9.62,97.25,107.48,-10.23,-9.58,97.25,107.45,-10.2,23.5,16,66,0.04,-9.59,96.5,106.7,94,0.298,0.133,0.491,0.444,16.4,31,0.223,0.484,13,73.2,0.252,Gund Arena,"471,374","11,497"
2003,28,Denver Nuggets,W,17,65,0.207,-8.28,93.2,102.26,-9.06,-7.41,93.22,101.33,-8.11,24.1,17,65,0.87,-7.41,92.2,101.3,91,0.283,0.126,0.469,0.428,17.1,31.3,0.198,0.477,16.5,73.3,0.29,Pepsi Center,"607,813","14,825"
2003,18,Golden State Warriors,W,38,44,0.463,-1.13,109.01,110.1,-1.09,-0.59,109.45,109.96,-0.51,24.4,38,44,0.54,-0.6,108.3,109.5,94.2,0.343,0.178,0.526,0.472,13.9,35,0.267,0.482,12.2,67.9,0.22,The Arena in Oakland,"634,935","15,486"
2003,22,Memphis Grizzlies,W,28,54,0.341,-3.23,104.47,108.08,-3.62,-2.59,104.79,107.71,-2.92,24.9,32,50,0.63,-2.6,103.9,107.3,92.7,0.287,0.19,0.526,0.487,14.2,27,0.212,0.491,13.4,68.7,0.197,Pyramid Arena,"611,322","14,910"
2003,25,Chicago Bulls,E,30,52,0.366,-5.13,101.03,106.3,-5.27,-5.3,100.99,106.45,-5.47,25.2,27,55,-0.17,-5.31,100.2,105.6,93.5,0.3,0.148,0.512,0.471,15.4,27.7,0.217,0.47,13.3,69.5,0.263,United Center,"804,309","19,617"
2003,13,Phoenix Suns,W,44,38,0.537,1.13,104.48,103.21,1.27,1.57,104.58,102.83,1.74,25.2,44,38,0.43,1.57,103.7,102.5,91.5,0.285,0.17,0.514,0.473,13.7,29.7,0.211,0.47,14.8,70.3,0.222,America West Arena,"666,559","16,258"
2003,23,Los Angeles Clippers,W,27,55,0.329,-4.12,103,107.51,-4.51,-3.44,103.3,107.07,-3.77,25.3,29,53,0.68,-3.45,102.3,106.8,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,"706,471","17,231"
2003,11,Houston Rockets,W,43,39,0.524,1.48,104.96,103.5,1.46,1.89,105.07,103.14,1.93,25.9,46,36,0.42,1.89,104.3,102.6,88.8,0.316,0.196,0.522,0.474,14.8,30.3,0.243,0.462,12.6,72.4,0.209,Compaq Center,"565,166","13,785"
